date,index
2017-02-28,100
2017-03-01,102.93
2017-03-02,108.62
2017-03-03,108.78
2017-03-04,108.82666666666667
2017-03-05,108.87333333333333
2017-03-06,108.92
2017-03-07,105.78
2017-03-08,98.74
2017-03-09,102.54
2017-03-10,109.4
2017-03-11,109.83333333333334
2017-03-12,110.26666666666667
2017-03-13,110.7
2017-03-14,111.7
2017-03-15,114.09
2017-03-16,111.46
2017-03-17,109.48
2017-03-18,106.95666666666666
2017-03-19,104.43333333333334
2017-03-20,101.91
2017-03-21,107.3
2017-03-22,99.19
2017-03-23,101.76
2017-03-24,100.31
2017-03-25,101.23666666666666
2017-03-26,102.16333333333334
2017-03-27,103.09
2017-03-28,104.05
2017-03-29,106.15
2017-03-30,106.15
2017-03-31,109.15
2017-04-01,110.68666666666667
2017-04-02,112.22333333333334
2017-04-03,113.76
2017-04-04,113.43
2017-04-05,113.31
2017-04-06,115.52
2017-04-07,116.33
2017-04-08,116.80333333333333
2017-04-09,117.27666666666667
2017-04-10,117.75
2017-04-11,118.68
2017-04-12,120.08
2017-04-13,118.2
2017-04-14,118.24
2017-04-15,118.56
2017-04-16,118.88
2017-04-17,119.2
2017-04-18,120.44
2017-04-19,120.71
2017-04-20,122.56
2017-04-21,124.04
2017-04-22,124.79
2017-04-23,125.54
2017-04-24,126.29
2017-04-25,128.6
2017-04-26,132.32
2017-04-27,137.65
2017-04-28,139.85
2017-04-29,143.96666666666667
2017-04-30,148.08333333333331
2017-05-01,152.2
2017-05-02,156.61
2017-05-03,161.45
2017-05-04,173.29
2017-05-05,173.58
2017-05-06,178.29333333333335
2017-05-07,183.00666666666666
2017-05-08,187.72
2017-05-09,193.03
2017-05-10,197.39
2017-05-11,201.86
2017-05-12,187.52
2017-05-13,190.49666666666667
2017-05-14,193.47333333333333
2017-05-15,196.45
2017-05-16,204.29
2017-05-17,214.71
2017-05-18,218.53
2017-05-19,232.03
2017-05-20,243.53666666666666
2017-05-21,255.04333333333335
2017-05-22,266.55
2017-05-23,274.66
2017-05-24,304.11
2017-05-25,293.57
2017-05-26,280.52
2017-05-27,283.62666666666667
2017-05-28,286.7333333333333
2017-05-29,289.84
2017-05-30,288.63
2017-05-31,301.19
2017-06-01,310.27
2017-06-02,310.61
2017-06-03,321.3933333333333
2017-06-04,332.1766666666667
2017-06-05,342.96
2017-06-06,361.57
2017-06-07,357.89
2017-06-08,353.02
2017-06-09,368.16
2017-06-10,369.84333333333336
2017-06-11,371.52666666666664
2017-06-12,373.21
2017-06-13,407.63
