DATE,5YR BREAK,5YR FORWARD,10 YR BREAK,GLD ETF,BTC CLOSE,CRYPT INDEX,BTC Daily Return,,GLD Daily Return,Correlation,,,,,,,
2/1/2014,1.71,2.81,2.26,118,802.39,,0.020351699,0.741292334,0.010932212,0.016202623,,Average,0.001807946,,Kurtosis,,
3/1/2014,1.69,2.83,2.26,119.290001,818.72,,0.049821673,0.740967474,0.000586803,0.014239852,,Standard Dev,0.039064185,,Skewness,,
4/1/2014,1.71,2.81,2.26,119.3600007,859.51,,0.086118835,0.739854665,0.000586458,-0.048385494,,,,,,,
5/1/2014,1.73,2.79,2.26,119.4300003,933.53,,0.021166968,0.734752491,0.000586115,-0.049183322,,Same thing with BCD (explanatory variables),,,,,
6/1/2014,1.75,2.77,2.26,119.5,953.29,,-0.158703018,0.73440027,-0.005690377,-0.039307616,,Populate Table,,,,,
7/1/2014,1.83,2.69,2.26,118.82,802,,0.050773067,0.723934616,-0.005891239,-0.065103769,,Non-stationary include p-value,,,,,
8/1/2014,1.76,2.82,2.29,118.120003,842.72,,0.004912664,0.72519751,0.002878395,-0.058151919,,,,,,,
9/1/2014,1.83,2.79,2.31,118.459999,846.86,,0.025529603,0.726356862,0.015195028,-0.05859187,,,,,,,
10/1/2014,1.75,2.83,2.29,120.260002,868.48,,0.05235584,0.727116853,0.002106533,-0.07192371,,Levels are non-stationary,,,,,
11/1/2014,1.736666667,2.83,2.283333333,120.5133337,913.95,,-0.055506319,0.725700613,0.002102104,-0.07373008,,,,,,,
12/1/2014,1.723333333,2.83,2.276666667,120.7666653,863.22,,-0.02550914,0.72450685,0.002097696,-0.071634429,,Annualize avg and stdev,,0.746320203,,Annual AVG,0.659900232
13/1/2014,1.71,2.83,2.27,121.019997,841.2,,-0.009427009,0.724624424,-0.009337283,-0.066450776,,,,,,,
14/1/2014,1.76,2.76,2.26,119.889999,833.27,,0.03315852,0.726440279,-0.001918384,-0.081002631,,Populate Summary Table,,,,,
15/1/2014,1.72,2.84,2.28,119.660004,860.9,,-0.029353003,0.725914546,0.001086386,-0.078654754,,,,,,,
16/1/2014,1.74,2.76,2.25,119.790001,835.63,,-0.025118773,0.72542092,0.009516646,-0.075733967,,Gold vs BTC ,,,,,
17/1/2014,1.72,2.8,2.26,120.93,814.64,,0.031130315,0.743656358,-0.002542799,-0.072011818,,,,,,,
18/1/2014,1.7175,2.8025,2.26,120.6224993,840,,0.036857143,0.768035654,-0.002549282,-0.069601013,,100 day window,,,,,
19/1/2014,1.715,2.805,2.26,120.3149985,870.96,,-0.0008726,0.787934703,-0.002555797,-0.067172188,,90 days 1 quarter,,,,,
20/1/2014,1.7125,2.8075,2.26,120.0074978,870.2,,-0.007228223,0.787989145,-0.002562347,-0.069552766,,,,,,,
21/1/2014,1.71,2.81,2.26,119.699997,863.91,,-0.021205913,0.788895203,-0.00426061,-0.072638466,,Rolling correlation to see flavors of it with 100 days ranges,,,,,
22/1/2014,1.79,2.71,2.25,119.190002,845.59,,-0.027850377,0.790953415,0.021813902,-0.076342564,,1 number Historical correlation for overall input in the table!,,,,,
23/1/2014,1.72,2.54,2.13,121.790001,822.04,,-0.030375651,0.790885577,0.004105427,-0.066177558,,,,,,,
24/1/2014,1.68,2.6,2.14,122.290001,797.07,,0.070934799,0.790520396,-0.003625268,-0.06365957,,,,,,,
